artist,duration,album,genre,title,year,,
Dimmu Borgir,313.88689,Puritanical Euphoric Misanthropia,black metal,Sympozium,2001,,
Lifer,286.53669,Lifer,nu metal,Breathless,2001,,
Paul Glazby,541.51791,Beautiful,hard house,Beautiful,2001,,
Moonsorrow,356.49261,Kivenkantaja,viking metal,Ukkosenjumalan poika,2001,,
unloco,163.86567,Healing,alternative metal,Nothing (Album Version),2001,,
Event Horizon,440.76363,Backroom Beats,chill-out,Endless Ocean,2001,,
System of a Down,217.59955,Steal This Album!,alternative metal,Streamline,2001,,
Tha Liks,108.2771,X.O. Experience,los angeles,40 OZ Quartet Part I,2001,,
Laurie Berkner,233.45587,Buzz Buzz,death core,The Cookie Bakers of the Night,2001,,
Ricky Martin,336.19546,La Historia,latin,Fuego De Noche_ Nieve De DAa,2001,,
Badmarsh & Shri,263.31383,Signs,breakbeat,Bang,2001,,
Lighthouse Family,241.24036,The Very Best Of,blue-eyed soul,Run,2001,,
Candy Lo,202.57914,Fantasy,chinese music,Qu Ni De Hun Li,2001,,
Connie Smith,125.67465,The Essential Connie Smith,country gospel,I'll Come Running,2001,,
Rhian Sheehan,288.62649,Paradigm Shift,trip hop,Existing Alone,2001,,
Poncho Sanchez,282.20036,Latin Spirits,latin jazz,Going Back To New Orleans,2001,,
Mastodon,233.58649,Call of the Mastodon,alternative metal,Shadows That Move,2001,,
Dave Hollister,271.62077,Chicago '85...The Movie,motown,One Woman Man,2001,,
X-ecutioners featuring M.O.P.,210.07628,Built From Scratch,turnablism,Let It Bang,2001,,
Blind Willie McTell,116.34893,The Devil Can't Hide From Me,country blues,Boll Weevil,2001,,
Dave Brockie Experience,135.8624,Diarrhea Of A Madman,shock rock,The Dance Of Europe,2001,,
Smartbomb,233.27302,Yeah.  Well_ Anyway....,melodic hardcore,Complicate It,2001,,
Benabar,235.02322,Live Au Grand Rex,chanson,Porcelaine,2001,,
Stephan Micus,504.94649,Desert Poems,free improvisation,Mikhail's Dream,2001,,
Dave Brockie Experience,100.10077,Diarrhea Of A Madman,shock rock,Too Much Stuff,2001,,
Shakira,224522,Laundry Service,dance pop,Objection (Tango),2001,,
Samy Deluxe,235.98975,Samy Deluxe,hip hop,Die Meisten,2001,,
Jessica Simpson featuring Lil Bow Wow,215.66649,This Is The Remix,teen pop,Irresistible,2001,,
Jennifer Lopez featuring Ja Rule,263.20934,J.Lo,dance pop,I'm Real,2001,,
unloco,205.73995,Healing,alternative metal,Reckoning (Album Version),2001,,
Dilated Peoples Featuring Black Thought,236.72118,Expansion Team,turnablism,Hard Hitters,2001,,
Tha Liks featuring Defari,233.92608,X.O. Experience,los angeles,My Dear,2001,,
T.O.K.,225.72363,My Crew_ My Dawgs,dancehall,Saturday,2001,,
Maximilian Hecker,228.80608,Infinite Love Songs,chamber pop,Polyester,2001,,
Cake,91.32363,Comfort Eagle,post-grunge,Arco Arena,2001,,
T-la Rock,151.61424,Dj Revolution Present Class Of 86,hip hop,Back To Burn,2001,,
City High,174.91546,Ultimate R&B,hip hop,What Would You Do?,2001,,
Mungo Jerry,155.24526,In The Summertime - Greatest Hits,pop rock,Pushbike Song,2001,,
Mastodon,280.21506,Call of the Mastodon,alternative metal,Deep Sea Creature,2001,,
The Irish Tenors,283.55873,Live From Ellis Island,irish folk,The Croppy Boy,2001,,
Nestor Torres,280.2673,The Very Best of Nestor Torres,latin jazz,This Side Of Paradise,2001,,
Zeromancer,236.53832,Eurotrash,industrial rock,Send Me An Angel,2001,,
Darwin's Waiting Room,204.79955,Orphan,nu metal,Spent,2001,,
Angelo Badalamenti,86.56934,Mulholland Drive,chill-out,Dinner Party Pool Music,2001,,
John Sebastian,284.00281,Tar Beach,folk rock,Freezin' From The Inside Out,2001,,
Redman,199.81016,Malpractice,hip hop,Muh- F***a,2001,,
Kim Wilson,555.54567,Smokin' Joint,harmonica blues,Got To Let You Go,2001,,
MxPx,88.73751,The Renaissance,christian rock,Time Will Tell,2001,,
Francis Dunnery,257.20118,Man,singer-songwriter,The Ava Song,2001,,
Britney Spears feat. Pharrell Williams,225.48853,Touch My Soul_ Vol. 23,dance pop,Boys,2001,,
Lifer,228.62322,Lifer,nu metal,Boring,2001,,
Sugarbomb,219.74159,Bully,post-grunge,Gone,2001,,
Gorillaz,183.53587,G-Sides,hip hop,Rock The House (Radio Edit),2001,,
unloco,362.34404,Healing,alternative metal,Bystander (Album Version),2001,,
Laurie Berkner,115.82649,Buzz Buzz,death core,I've Been Working on the Railroad,2001,,
Yami Bolo,214.30812,Healing of All Nations,roots reggae,Healing of All Nations,2001,,
Keb' Mo',242.80771,Big Wide Grin,blues,I Am Your Mother Too,2001,,
AndrA(c) Verchuren,165.04118,Les Increvables N1,chanson,Un P'Tit Brin De Musette,2001,,
Twila Paris,202.70975,Ultimate Collection: Lullabies,ccm,Perfect Peace,2001,,
Gorillaz,249.93914,Gorillaz,hip hop,Rock The House (Explicit),2001,,
Mike Vax,154.06975,Trumpets - The Transformation,hard bop,Trumpet Blues And Cantabile,2001,,
Unearth,222.27546,Stings of Conscience,post-hardcore,Fuel the Fire,2001,,
The Verve Pipe,292.8322,Underneath,post-grunge,Medicate Myself,2001,,
Tshala Muana,390.63465,Mutuashi,world beat,Banda Yango,2001,,
Black History,251402,Reggae Salute,dancehall,Problem Inna the System,2001,,
Luar Na Lubre,251.81995,lo mejor de  Luar na Lubre,freestyle,Terra,2001,,
Diesel Boy,152.65914,Rode Hard and Put Away Wet,pop rock,Pocket Full Of Stars,2001,,
TYR,293.38077,TyR,viking metal,Grial II,2001,,
Tha Liks,43.2322,X.O. Experience,los angeles,Intro,2001,,
Bounty Killer,225.25342,Nah No Mercy - The Warlord Scrolls,dancehall,Gun Thirsty,2001,,
Enslavement Of Beauty,239.90812,Megalomania,parody,Ye That Tempteth_ Ye That Bequeth,2001,,
Long Beach Dub Allstars,205.11302,Wonders Of The World,dub,Free Love,2001,,
Clifton Chenier,281.15546,Live! At Grant Street,zydeco,Johnny Can't Dance,2001,,
Jaguares,302.8371,Cuando La Sangre Galopa,latin pop,El Momento,2001,,
Busta Rhymes,231.60118,Genesis,hip hop,Genesis,2001,,
Memphis Jug Band,161.54077,The Best Of The Memphis Jug Band,country blues,Ambulance Man,2001,,
Flora Purim,246.67383,Perpetual Emotion,latin jazz,Airto's Jazz Dance,2001,,
Les Ogres De Barback,287242,Croc' noces,chanson,L'education du corps des porcs,2001,,
Amoral,306.38975,Wound Creations,death metal,Metamorphosis,2001,,
Onesidezero,281.12934,Is This Room Getting Smaller?,post-grunge,Eight (Album Version),2001,,
Basement Jaxx,161.85424,Rooty,progressive house,Sfm,2001,,
Tito Rodriguez,176.5873,A Man And His Music  - El Inolvidable,mambo,Mango Del Monte,2001,,
T.O.K.,208.50893,Reggae Gold 2001,dancehall,Chi Chi Man,2001,,
Geiom,365.60934,Sellotape Flowers,dubstep,Sellotape Flowers,2001,,
Toni Braxton Featuring Shaggy,219.01016,Snowflakes,dance pop,Christmas In Jamaica,2001,,
J.B. Lenoir,176.37832,The Very Best Of,chicago blues,The Mojo,2001,,
Soilent Green,180.32281,A Deleted Symphony for the Beaten Down,sludge metal,Daydreaming the Color of Blood,2001,,
KA(c)kA(c)lA(c),219.8722,Rumba Congo,soukous,Likambo,2001,,
Long Beach Dub Allstars,282.61832,Wonders Of The World,dub,Kablammin' It,2001,,
Zen Lemonade,493.7922,Lemon Soul,progressive trance,Brazil Mon Amour,2001,,
Jennifer Lopez,247.77098,J.Lo,dance pop,We Gotta Talk,2001,,
Aphasia,207.5424,Brain Patch Error,gabba,"sample processing failed (part one: ""why don't you fuckin' remember anything ?"")",2001,,
Otis Taylor,107.83302,White African,country blues,Round and Round,2001,,
Penguin CafA(c) Orchestra,270.78485,A Brief History,chamber jazz,Bean Fields (Live) (2001 Digital Remaster),2001,,
Confetti's,312.45016,Greatest Hits,new beat,C Day (Maxi Club Version),2001,,
Pat Green,295.75791,Three Days,country rock,Threadbare Gypsy Soul,2001,,
Dimmu Borgir,186.56608,Alive in Torment,black metal,Puritania,2001,,
Evergreen Terrace,159.4771,Losing All Hope Is Freedom,melodic hardcore,Look Up At The Stars And You're Gone,2001,,
Big Daddy Kane,190.82404,Urban Car Tunes 2 (Megamix),hip hop,Flame On,2001,,
Miranda Lee Richards,243722,The Herethereafter,chill-out,The Long Goodbye,2001,,
T-Bone,234.16118,The Last Street Preacha,ccm,Ride Wit Me,2001,,
Maximilian Hecker,295.60118,Infinite Love Songs,chamber pop,Let Me Out,2001,,
Agnostic Front,105.84771,Dead Yuppies,hardcore punk,Standing On My Own,2001,,
Zuma,735.60771,Juno,electro,Juno,2001,,
CafA(c) Quijano,215.2224,La taberna del Buda,pop rock,En mis besos,2001,,
Laurie Berkner,169.37751,Buzz Buzz,death core,Ice Cream Cone,2001,,
Robin Fox,515.65669,I See Stars - The Trance Album,breakbeat,Wonderland,2001,,
The Smashing Pumpkins,399.98649,Rarities & B-Sides,alternative rock,Soot and Stars,2001,,
Shakira,246.43873,Laundry Service,dance pop,Poem To A Horse,2001,,
Connie Smith,146.33751,The Essential Connie Smith,country gospel,If I Talk To Him,2001,,
Steve Vai,363.36281,Live In London,instrumental rock,Fire,2001,,
Slim Whitman,170.81424,UK - 1955 - September,folk-pop,China Doll,2002,,
Charley Pride,172.09424,The Pride of Country,honky tonk,Help Me Make It Through the Night,2002,,
Behemoth,229.40689,Zos Kia Cultus,black metal,No Sympathy For Fools,2002,,
Dropkick Murphys,196.72771,Live On St. Patrick's Day,celtic punk,Bloody Pig Pile (Live),2002,,
John Hammond,195.3171,Bluesman,blues,I Can't Be Satisfied,2002,,
Miguel Migs,284.60363,Colorful You,progressive house,The One,2002,,
Bryan Ferry,35.65669,Frantic,glam rock,Ja Nun Hons Pris,2002,,
Sick On The Bus,178.65098,Go To Hell,hardcore punk,Who R Ya,2002,,
Portable,369.60608,Gridshift,post-grunge,Don't Give Up,2002,,
Floor,117.02812,Below & Beyond,stoner metal,Assassin,2002,,
Ms. Dynamite,269.81832,A Little Deeper,grime,All I Ever,2002,,
ARRESTED DEVELOPMENT,270.36689,Classic Masters,hip hop,Natural (2002 Digital Remaster),2002,,
30 Seconds To Mars,472.39791,30 Seconds To Mars,rock,Year Zero,2002,,
Home Town Hero,206.88934,Home Town Hero,post-grunge,Twelve Ounce (Album Version),2002,,
Loudermilk,272.03873,The Red Record,post-grunge,Mai,2002,,
Bad Religion,239882,Process Of Belief,hardcore punk,Epiphany,2002,,
Phil Collins,392.82893,Love Songs,soft rock,Testify,2002,,
Bebe Winans,278.22975,Live Up  & Close,ccm,Love Thing,2002,,
The Starting Line,264.41098,Say It Like You Mean It,pop punk,A Goodnight's Sleep,2002,,
AZ,60.21179,Aziatic,gangster rap,Aziatic (Outro),2002,,
Dave Eggar,225.04444,Angelic Embrace,new age,Wave,2002,,
Maroon 5,177.52771,Call And Response: The Remix Album,pop,This Love,2002,,
Christina Aguilera,236.95628,Dance Vault Remixes - Beautiful,dance pop,Beautiful,2002,,
Tin Hat Trio,276.58404,The Rodeo Eroded,chamber jazz,Willow Weep For Me (With Willie Nelson),2002,,
Cirrus,193.72363,Counterfeit,big beat,Boomerang (Reprise),2002,,
Ms. Dynamite,56.13669,A Little Deeper,grime,Natural High (Interlude),2002,,
Sinch,232202,Sinch,post-grunge,The Arctic Ocean (Album Version),2002,,
Roger Subirana,288.07791,L'indret Prohibit,free music,Un Res Pyr,2002,,
M.A. Numminen,118.30812,Gommin ja Pommin metsA$?karnevaali,german pop,Suti-suti,2002,,
2raumwohnung,272.95302,In wirklich,tech house,MA$?dchen mit Plan,2002,,
Stew,569.20771,The Naked Dutch Painter And Other Songs,cabaret,The Drug Suite,2002,,
Fat Joe,235.17995,Loyalty,gangster rap,Prove Something (explicit album version),2002,,
Hatiras,298.1873,Hatiras - Electronic Luv,tech house,The Anthem,2002,,
Dart,340.53179,Don't Let The Bastards Get You Down,post-grunge,For The Good Times,2002,,
Ms. Dynamite / Bounty Killer,241.37098,Put Him Out,grime,Put Him Out,2002,,
Edgar De L'est,317.28281,Les vacances,musette,Slavinka,2002,,
Murderdolls,147.51302,Beyond The Valley Of The Murderdolls,heavy metal,Kill Miss America (Album Version),2002,,
Coldplay,274.41587,In My Place,piano rock,One I Love,2002,,
Timothy Byram-Wigfield,473.46893,Olivier Messiaen: Les Corps Glorieux - Le Banquet cA(c)leste - Apparition de l'Eglise A(c)ternelle,religious music,Les Corps Glorieux: III. L'Ange aux parfums,2002,,
Roger Clyne & The Peacemakers,170.81424,Sonoran Hope and Madness,roots rock,Mile High and Risin',2002,,
Rodney O & Joe Cooley,252.23791,Three The Hard Way,miami bass,Party,2002,,
Novaspace,231.54893,Supernova,trance,Guardian Angel,2002,,
Mariah Carey,196.93669,Charmbracelet,dance pop,Clown,2002,,
The Four Pennies,144.14322,The Very Best Of The Four Pennies,brill building pop,Juliet,2002,,
3 Doors Down,232.07138,Seventeen Days,post-grunge,Here Without You,2002,,
Avril - Remix By Ana Rago,188.39465,The Date - Dated Girls Remixes,trip hop,The Date (Remix By Ana Rago),2002,,
themselves,245.31546,the no music.,experimental pop,You Devil You,2002,,
Everyday Sunday,269.73995,Stand Up,post-grunge,Don't Leave,2002,,
Poncho Sanchez,307.09506,Conga Caliente,latin jazz,Co Co My My,2002,,
Ms. Dynamite / Kymani Marley,202.21342,A Little Deeper,grime,Seed Will Grow,2002,,
Thrice,169.63873,The Illusion of Safety,post-hardcore,Betrayal Is A Symptom,2002,,
Ashtrax,278.36036,Xtreme Control EP,progressive house,Future Traffic Song,2002,,
"MichA""le Bernard",232.38485,Mes premiers vinyls,chanson,Le bar du grand dA(c)sir,2002,,
Massive TAPne,220.78649,MT3,pop rap,Im Club,2002,,
Atman,268.22485,The Lonely Road,downtempo,Distant Voices,2002,,
Remy Shand,250.77506,The Way I Feel,neo soul,The Second One,2002,,
K-OS,235.04934,Exit,trip hop,Heaven Only Knows,2002,,
Zombina & The Skeletones,152.65914,Taste the Blood Of...,psychobilly,Can't Break a Dead Girl's Heart,2002,,
Quadro Nuevo,133.98159,Luna Rossa,tango,Nature Boy,2002,,
Souls Of Mischief,220.96934,Urban Renewal Program,jazz rap,Spark,2002,,
Klaus Badelt,275.19955,The Time Machine,chill-out,Time Travel,2002,,
Darryl Worley,226.2722,I Miss My Friend,soft rock,Where You Think You're Goin'?,2002,,
Rhinoceros,280.24118,Rhinoceros,straight edge,You're My Girl (LP Version),2002,,
The Berzerker,163.81342,Dissimulate,speedcore,Compromise,2002,,
VHS Or Beta,508.02893,Le Funk,disco,Solid Gold (Evolution Mix) (2005 Digital Remaster),2002,,
Onyx,255.50322,Onyx/ Bacdafucup II,hip hop,Wet The Club,2002,,
Eyes Cream,492.30322,Open Up Your Mind,progressive house,Open Up Your Mind (Guido Osorio Club Mix),2002,,
Lollipop Lust Kill,211.90485,My So Called Knife,industrial metal,No Answer (Outro),2002,,
Behemoth,206.44526,Zos Kia Cultus,black metal,Here And Beyond,2002,,
Red Hot Chili Peppers,367.01995,By The Way,rap rock,Venice Queen (Album Version),2002,,
Cam'Ron / Juelz Santana,366.05342,Come Home With Me,hip hop,Losing Weight Part 2,2002,,
50 Cent,255.63383,Get Rich Or Die Tryin',gangster rap,U Not Like Me,2002,,
Astarte,515.36934,Quod Superius Sicut Inferius,black metal,Oblivious Darkness,2002,,
Solistiyhtye Suomi,164.98893,He Soittavat Humppaa,german pop,YksinA$?isin,2002,,
Precious Bryant,164.8322,Fool Me Good,blues,When The Saints Go Marching In,2002,,
Charlie Haden,292.17914,American Dreams,free jazz,American Dreams,2002,,
Nicolas Bacchus,65.61914,Balades pour enfants louches,chanson francaise,"PrA(c)liminaires_ par Philippe PagA""s (feat. Philippe PagA""s)",2002,,
Sofia Karlsson,340.21832,Folk Songs,chanson,I denna ljuva sommartid,2002,,
T.G. Sheppard,196.62322,Devil in the bottle,country rock,Only One You,2002,,
Sister Rosetta Tharpe,162.40281,Sister Rosetta Tharpe Vol. 2 1942-1944,religious music,What He Done For Me,2002,,
Christina Aguilera,229.53751,Christina Aguilera/Stripped,dance pop,Cruz,2002,,
Kathy Mattea,124.83873,Roses,bluegrass,Isle Of Inishmore - Part 1 (Air),2002,,
Dean Martin,145.99791,Once In A While,vocal,That Old Gang Of Mine,2002,,
Timo Maas featuring MC Chikaboo,333.87057,Loud,progressive house,Shifter,2002,,
Darden Smith,270.62812,Ojo,blues-rock,Perfect Moment,2002,,
Less Than Jake,257.01832,Pezcore,ska punk,Short On Ideas / One Last Cigarette,2002,,
Foo Fighters,270.47138,ONE BY ONE,grunge,Overdrive,2002,,
Precious Bryant,154.30485,Fool Me Good,blues,Blues All Around My Bed,2002,,
Noah Lewis,169.74322,Harmonica Blues,ghetto tech,Devil In The Wood Pile,2002,,
Maroon 5,270.70649,Songs About Jane,pop,Sweetest Goodbye,2002,,
Danny Elfman,140.87791,Men In Black II - Music From The Motion Picture,soundtrack,Sleuthing,2002,,
B.B. King,237.66159,Hurricane Relief: Come Together Now,blues-rock,Early In The Morning,2002,,
GZA/The Genius,237.34812,Legend Of The Liquid Sword,east coast hip hop,Did Ya Say That,2002,,
Zeca Baleiro,364.72118,Baladas Do Asfalto e Outros Blue Ao Vivo,brazilian pop music,Telegrama,2002,,
Modeselektor,385.2273,In Loving Memory,techno,We Do It Too,2002,,
"MichA""le Bernard",253.64853,Mes premiers vinyls,chanson,Le mouton dans la baignoire,2002,,
Toni Braxton,249.18159,More Than A Woman,dance pop,Tell Me,2002,,
Wyclef Jean featuring Butch Cassidy and Sharissa,238.47138,Masquerade,hip hop,You Say Keep It Gangsta,2002,,
Sinch,300.72118,Sinch,post-grunge,Plasma (Album Version),2002,,
Las Ketchup,195.73506,Hijas Del Tomate,rumba,Tengo Un Novio TA!ntriko,2002,,
Toni Braxton,258.48118,More Than A Woman,dance pop,Let Me Show You The Way (Out),2002,,
Naughty By Nature,245.65506,Icons,gangster rap,Swing Swang,2002,,
Sun Yan-Zi,215.53587,Start,chinese music,That's The Way It Is,2002,,
Shelly Manne,177.47546,Daktari,hard bop,Wameru  (LP Version),2002,,
Naughty By Nature,330.08281,Icons,gangster rap,Family Tree,2002,,
Home Town Hero,187.76771,Home Town Hero,post-grunge,Bleeds In Blue (Album Version),2002,,
Beogradski Sindikat,415.50322,Bssst.....Tisincina!,hip hop,Slatke male maloletnice,2002,,
John Mayall,262.79138,STORIES,blues-rock,The Witching Hour,2002,,
Christophe Beck,91.21914,Elektra,electronica,Main Title,2002,,
John Frizzell,133.19791,Ghost Ship,soundtrack,No Unexpected Guests,2002,,
Asleep At The Wheel,238.21016,Kings Of The Texas Swing - Live,western swing,The Letter That Johnny Walker Read,2002,,
Maroon 5,173.66159,Songs About Jane,pop,Harder To Breathe,2002,,
Quadro Nuevo,232.9073,Buongiorno Tristezza,tango,La Muneca de Alcazar,2002,,
Maroon 5,261.61587,Call And Response: The Remix Album,pop,She Will Be Loved,2002,,
Erkki Junkkarinen,218.93179,Vuosikirja 1976 - 50 hittiA$?,humppa,Nuoruusmuistoja,2002,,
Nerf Herder,167.44444,American Cheese,post-grunge,Nervous Breakdown,2002,,
"MichA""le Bernard",192.67873,Mes premiers vinyls,chanson,Chanson sous la pluie,2002,,
30 Seconds To Mars,277.28934,A Beautiful Lie + 30 Seconds To Mars,rock,End Of The Beginning,2002,,
Jope Ruonansuu,175.41179,Kaikkien aikojen parhaat -45 klassikkoa - Aattelepa ite,parody,TyAPnnA$? kA$?nnykkA$? hanuriin,2002,,
Stephan Micus,336.09098,Towards The Wind,free improvisation,Virgen De La Nieve - 14-String Guitar Solo,2002,,
Terry Riley,142.41914,Atlantis Nath,free improvisation,Acension Final Chord Rising,2002,,
Arne Weise,198.24281,Minnen _ drAPmmar och lite till,swedish,Sommarens sista mAY=s,2002,,
Shaggy / Brian & Tony Gold,199.94077,Lucky Day,reggae,Hey Sexy Lady,2002,,
Paris_ Texas,225.67138,Polyvinyl 2002 - 2003 Sampler,big beat,Hip Replacement,2002,,
Jordan & Baker,424.9073,Explode,hard trance,Explode (Epic Extended Mix),2002,,
Faith Hill,231.44444,Cry,country,Unsaveable (Album Version),2002,,
The Fray,231.07873,How To Save A Life,piano rock,Vienna,2002,,
Rocket From The Tombs,138.44853,Rocket Redux,garage rock,Frustration,2002,,
Fat Joe,277002,Loyalty,gangster rap,Bust At You [featuring Baby_ Scarface & Tony Sunshine] (edited album version),2002,,
Styles P,85.02812,The Ghost In the Machine,rap,Intro,2002,,
Jesse Malin,261.17179,Mercury Retrograde,urban folk,Wendy,2002,,
T.G. Sheppard,194.11546,The Very Best Of,country rock,You Feel Good All Over,2002,,
Rubyhorse,266.03057,Rise,freestyle,Evergreen,2002,,
Porcupine Tree,441.88689,In Absentia,experimental rock,Strip The Soul (album version),2002,,
Bad Religion,169.87383,Process Of Belief,hardcore punk,You Don't Belong,2002,,
Quadro Nuevo,215.30077,Luna Rossa,tango,Allez_ Glissez!,2002,,
Cadacross,217.93914,Corona Borealis,folk metal,Bring Out Your Dead,2002,,
Robben Ford,298.37016,Blue Moon,blues-rock,Something For The Pain,2002,,
Junior Jack,482.55955,Thrill Me,progressive house,Thrill Me (Atfc's Jackhammer Re-Rub),2002,,
Evergreen Terrace,143882,Burned Alive By Time,melodic hardcore,Please Hammer Don't Hurt 'Em,2002,,
Bongzilla,422.55628,Live From the Relapse Contamination Festival,stoner metal,Stone a Pig,2002,,
Buzzhorn,239.98649,Disconnected,post-grunge,Pinned To The Ground (album version),2002,,
Carlos Ponce,240.3522,Ponce,male vocalist,Quiero,2002,,
Stephen Pearcy,216.63302,Anthology 1977-2007,glam metal,Freak,2002,,
Jimmy McCracklin,147.64363,The Modern Recordings 1948-50,piano blues,Gotta Cut Out,2002,,
Isabel Pantoja,181.65506,Donde El CorazA3n Me Lleve,flamenco,Adelante,2002,,
Uphill Battle,323.36934,Uphill Battle,grindcore,Climate Control,2002,,
Jeff Scott Soto,302.00118,Prism,symphonic rock,2 Late 4 Goodbyes,2002,,
Between The Buried And Me,291.39546,Between The Buried And Me,alternative metal,Use Of A Weapon (Album Version),2002,,
Cam'Ron / Juelz Santana / Jimmy Jones,301.50485,Come Home With Me,hip hop,Come Home With Me,2002,,
Rubyhorse,228.20526,Rise,freestyle,The  First Of The Year,2002,,
Bon Jovi,345.96526,Bounce - Special Edition,rock,The Distance,2002,,
Busta Rhymes,226.32444,It Ain't Safe No More,hip hop,Taste It,2002,,
Bon Jovi / Ray Davies,336.84853,Misunderstood,rock,Celluloid Heroes,2002,,
Marcio Faraco,293.43302,Interior,latin jazz,Sarapatel Humano,2002,,
Queens Of The Stone Age,155.61098,Songs For The Deaf,stoner metal,Everybody's Gonna Be Happy,2002,,
Jennifer Lopez,220.55138,This Is Me...Then,dance pop,Still,2002,,
LeA3n Gieco,266762,Bandidos Rurales,folk rock,Ruta Del Coya,2002,,
Christina Aguilera,347.84608,Christina Aguilera/Stripped,dance pop,Walk Away,2002,,
Beenie Man Featuring Janet Jackson,215.90159,Feel It Boy,dancehall,Feel It Boy (Deep Dish Danchall Remix) (Feat. Janet Jackson),2002,,
Aesop Rock,243.56526,Urban Renewal Program - Supplement 1.5,underground rap,Train Buffer,2002,,
Berlin,255.32036,Voyeur,dance rock,Blink Of An Eye (Alternative),2002,,
"Jean LumiA""re",183.37914,The Greatest Hits from 40's and 50's_ Vol. 66,chanson,Le temps des cerises,2002,,
Jesse Malin,211.85261,Messed Up Here Tonight,urban folk,Almost Grown,2002,,
Wyclef Jean,7.13098,Masquerade,hip hop,Midnight Lovers,2002,,
Olga TaA+-on,254.1971,Sobrevivir,merengue,Ojos Negros,2002,,
Bad Religion,138.84036,Process Of Belief,hardcore punk,The Lie,2002,,
The Berzerker,84.1922,Dissimulate,speedcore,Pure Hatred,2002,,
G Unit feat. 50 Cent,101.43302,Tha Gangsta Mix,rap,Tony Yayo Explosion,2002,,
Jim Breuer,478.92853,Smoke 'N' Breu,progressive metal,Party In The Stomach (LP Version),2002,,
Weezer,137.37751,Maladroit,pop rock,Dope Nose,2002,,
John Hammond,196362,Sooner Or Later,blues-rock,How Many More Years (LP Version),2002,,
Bongzilla,475.11465,Gateway,stoner metal,666lb. Bongsession,2002,,
30 Seconds To Mars,245.02812,30 Seconds To Mars,rock,The Mission,2002,,
Nicolas Bacchus,215.01342,Balades pour enfants louches,chanson francaise,Josy,2002,,
Rhian Sheehan,314.48771,Tiny Blue Biosphere,trip hop,Degrees of Freedom,2002,,
Orthrelm,70.03383,2nd18/04,experimental rock,Scelxenak,2002,,
Shamen,443.03628,Hystericool: The Best of the Alternate Mixes,tech house,Destination Eschaton (Hardfloor Vocal Mix),2002,,
From Autumn To Ashes,147.64363,Too Bad You're Beautiful,post-hardcore,IV,2002,,
Warrior King,224.28689,Virtuous Woman,roots reggae,Empress So Divine,2002,,
Tin Hat Trio,292.04853,The Rodeo Eroded,chamber jazz,Rubies_ Pearls_ And Emeralds,2002,,
Solas,255.97342,The Edge Of Silence,irish folk,Clothes Of Sand,2002,,
Warrior King,225.77587,Virtuous Woman,roots reggae,Breath Of Fresh Air,2002,,
3 Doors Down,208.97914,The Better Life - Deluxe Edition,post-grunge,Sarah Yellin',2002,,
Pearl Jam,268.69506,Riot Act,grunge,You Are,2002,,
Jay & The Americans,174.68036,Come A Little Bit Closer,soft rock,Livin' Above Your Head,2002,,
Agnostic Front,158.32771,Disarming Violence,hardcore punk,Separate Ways,2002,,
Hatiras,177.13587,Arrival,tech house,Final Flash,2002,,
Maroon 5,181.52444,Songs About Jane,pop,Through With You,2002,,
Warrior King,223.29424,Riddim Rider : Trod'n to Zion,roots reggae,Virtuous Woman,2002,,
LeA3n Gieco,302.2624,Argentina Quiere Cantar,folk rock,Buenos Aires (De Tus Amores),2002,,
Mindy McCready,231.33995,Mindy McCready,female vocalist,Be With Me,2002,,
"MichA""le Bernard",212.13995,Mes premiers vinyls,chanson,Monsieur qui s'engraisse,2002,,
Phantomsmasher,382.14485,Phantomsmasher,post rock,Bishop Hopping,2002,,
Carlos NuA+-ez,237.87057,Carlos Nunez En Concert,flamenco,A Costa De Galicia,2002,,
Jennifer Lopez,224.39138,I'm Glad,dance pop,I'm Glad,2002,,
Uphill Battle,210.36363,Blurred 1999-2004,grindcore,Memory,2002,,
Bryan Ferry,188.18567,Frantic,glam rock,Going Down,2002,,
Kings Of Leon,168.82893,Youth & Young Manhood,southern rock,Genius,2003,,
Obie Bermudez,271.25506,Confesiones,salsa,Antes (Salsa Version),2003,,
Old Man's Child,288.44363,In Defiance Of Existence,sympho black metal,Life Deprived,2003,,
Johannes Linstead,294.66077,Zabuca,meditation,Guayabera,2003,,
Blink-182,280.00608,blink-182,power pop,All Of This,2003,,
Rise Against,218.8273,Revolutions Per Minute,hardcore punk,Amber Changing,2003,,
Abijah,283.68934,Abijah,roots reggae,The Rock,2003,,
Bob Hope,147722,Thanks For The Memory,jump blues,Merry-Go-Runaround,2003,,
Inhume,126.04036,In for the kill,grindcore,Process to decelerate,2003,,
Placebo,241.52771,Sleeping With Ghosts,british pop,English Summer Rain,2003,,
Nickelback featuring Kid Rock,223.99955,Charlie's Angels: Full Throttle (Music From The Motion Picture),alternative metal,Saturday Night's Alright (For Fighting),2003,,
Jane's Addiction,327.1571,Strays,alternative metal,Price I Pay,2003,,
Darwin Hobbs,212.50567,Broken,religious music,Praz Him (Broken Album Version),2003,,
DJ Godfather,45.08689,Da Bomb Vol 6,electro,From Da Back,2003,,
Juelz Santana / Freekey Zeekey / Monique Garnett,79.64689,From Me To U,rap,Dipset (Santana's Town) (Skit),2003,,
Hevia,261.32853,Atnico Ma Non Troppo,folk rock,San Xuan,2003,,
